study	pmid	cancer_type	race	years_median_followup	n_deaths	n_patients	n_bm_neg	n_bm_pos	n_bm_first_recurrence	n_bm_subsequent_recurrences	n_male	n_female	n_smoker_never	n_smoker_ever	n_age_lt_60	n_age_ge_60	n_age_lt_50	n_age_ge_50_lt_70	n_age_ge_70	t_status_1_2	t_status_3_4	n_status_0_1	n_status_2_3	m_status_0	m_status_1	n_histology_luad	n_histology_sclc	n_histology_other	n_stage_i_ii	n_stage_iii	n_stage_i_ii_iii	n_stage_iv	bm_meta	bm_syn	n_egfr_wildtype	n_egfr_mutant	n_kras_wildtype	n_kras_mutant	period_start	period_end	study_type	registry	country	n_race_nfe_fin	n_race_afr	n_race_eas	n_race_sas	n_race_oth_amr	survival_overall_5y	other_primary_cancers	other_metastases	comments
Wu 2013	23129122	NSCLC, EGFR+, BM+				48	0	48																																												Asymptomatic brain metastasis.
Porta 2011	20595147	NSCLC, BM+ at dx	Caucasian			69	0	69	69	0	37	32	22	47	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	69	47	0	22	0	0	0	69	0	69	52	17	NA	NA	2005	2006	retrospective	Spanish Lung Adenocarcinoma Data Base Study	Spain	69	0	0	0	0		No	No	EGFR wildtype is presumed. BM is presumed to be at dx.
Park 2012	22677429	NSCLC, EGFR+, BM+				28	0	28																																												
Grommes 2011	21865399	NSCLC, EGFR+, BM+				9	0	9																																												
Li Chen 2015	26050023	LUAD	East Asian			100	58	42	NA	NA	57	43	55	37												90	0	10	14	22	36	64	12	30	49	51			2010	2013	retrospective	Beijin Tiantan Hospital, Second Artillery General Hospital	China	0	0	100	0	0		No	No	
Raparia 2015	24694341	LUAD	NA			187	175	12	NA	NA	60	127	28	159	82	105	NA	NA	NA	176	11	153	13														59	128	2008	2011	retrospective	Northwestern Memorial Hospital	USA	NA	NA	NA	NA	NA		No	No	Actual age cutpoint is 65.
Renaud 2016	27336603	LUAD, operable, M+ after dx	Caucasian			481	NA	NA	51	NA	315	166	68	413	NA	NA	NA	NA	NA	318	163	208	273	481	0	481	0	0	NA	NA	481	0	NA	NA	285	196	285	196	2007	2012	retrospective	Strasbourg University Hospital	France	481	0	0	0	0		No	Yes	Only first site of recurrence is counted. Renaud confirmed all cases are LUAD. Node status is actually only N+ vs. N0.
Hung 2016	27542223	LUAD, operable, I-III	East Asian	2.80		748	667	81	NA	NA	361	387	NA	NA	NA	NA	NA	NA	NA	691	57	598	150	748	0	748	0	0	638	110	748	0	81	0	NA	NA	NA	NA	2004	2012	retrospective	Taipei Veterans General Hospital	China	0	0	748	0	0		No	Yes	
Lohinai 2017	28051122	LUAD, IV, EGFR-	Caucasian			500	NA	NA	84	NA	245	255	67	391	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	500	500	0	0	0	0	0	500	NA	84	NA	NA	357	143	2009	2013	retrospective	National Koranyi Institute of Pulmonology, Semmelweis Unversity	Hungary	500	0	0	0	0		No	Yes	Metastasis only assessed at dx.
Mamon 2005	15735128	NSCLC, IIIA, N2, M0	NA	2.92	124	177	121	56	48	8	85	92	NA	NA	NA	NA	NA	NA	NA	161	16	100	77	177	0	91	0	86	0	177	177	0	56	0	NA	NA	NA	NA	1988	2000	retrospective	Brigham and Women's Hospital	USA	NA	NA	NA	NA	NA	0.22	No	Yes	Median age of 60 implies about half < 60 and half >= 60.
Welsh 2013	23341526	NSCLC, BM- previously, BM+	Mixed			40	0	40	NA	NA	17	23	11	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	0	10	NA	NA	NA	NA	NA	NA	8	9	NA	NA	2006	2010	prospective	University of Arizona, MD Anderson Cancer Center	USA	34	4	2	0	0		No	No	Patients with prior BM were excluded.
Lee 2012	23110940	NSCLC, BM+	East Asian	1.25		43	0	43	NA	NA	23	20	27	16	22	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	0	3	NA	NA	NA	NA	NA	NA	13	30	NA	NA	2003	2011	retrospective	Wan Fang Hospital, Taipei Medical University Hospital	China	0	0	43	0	0		No	No	
Lee 2012	23110940	NSCLC	East Asian		NA	246	112	134	NA	NA																													2003	2011	retrospective	Wan Fang Hospital, Taipei Medical University Hospital	China	0	0	246	0	0		No	No	
Sekine 2012	22335887	NSCLC, BM+ at dx	East Asian			57	0	57	NA	NA	29	28	22	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	57	50	0	7	0	0	0	57	0	57	31	26	NA	NA	2005	2011	retrospective	Kanagawa Prefectural Cardiovascular and Respiratory Center, Ibarakihigashi National Hospital	Japan	0	0	57	0	0		No	No	
Eichler 2010	20627894	NSCLC, BM+	Mixed		NA	93	0	93	NA	NA	31	62	40	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	67	87	0	6	13	13	26	67	49	44	52	41	NA	NA	2004	2008	retrospective	Massachusetts General Hospital	USA	86	0	5	0	2		No	No	
Eichler 2010	20627894	NSCLC	NA		NA	373	280	93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	44	NA	NA	NA	NA	2004	2008	retrospective	Massachusetts General Hospital	USA	NA	NA	NA	NA	NA		No	No	
Gow Yang 2008	18172267	LUAD, BM+	East Asian	NA	NA	63	0	63	NA	NA	19	44	50	13	43	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	63	0	0	NA	NA	NA	NA	NA	NA	17	46	NA	NA	2003	2006	retrospective	National Taiwan University Hospital	China	0	0	63	0	0		No		Patients with operable solitary brain metastasis were excluded. Actual age cutpoint is 65.
Matsumoto 2006	16642476	LUAD, BM+	East Asian	NA	NA	19	0	19	NA	NA	13	6	6	13	14	5	5	12	2	NA	NA	NA	NA	NA	NA	19	0	0	NA	NA	NA	NA	NA	NA	7	12	NA	NA	1986	2001	retrospective	National Cancer Center Hospital	Japan	0	0	19	0	0		No	Yes	None of the patients were treated with EGFR TKI. Stage only available for 8 patients. KRAS mutation detected in 2 / 7 cases.
Gow Shih 2008	19088172	NSCLC, M+	East Asian	NA	NA	67	42	25	NA	NA	40	27	41	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	7	42	0	25	36	24	60	7	NA	NA	49	18	NA	NA	1996	2004	retrospective	National Taiwan University Hospital	China	0	0	67	0	0		No	Yes	Matched primary and metastasis samples.
Lee 2014	25453849	LUAD, BM+	East Asian			292	0	292	NA	NA	127	165	159	113	146	146				NA	NA	NA	NA	NA	NA	292	0	0	NA	NA	NA	NA	135	157	64	119	NA	NA	2007	2011	retrospective	Seoul National University Hospital	Korea	0	0	292	0	0		No	No	Patients were excluded if they had ALK rearrangement or history of other malignancy within 5 years.
Oh 2009	19441110	NSCLC, IV	NA			1886	NA	NA	669	NA	1106	780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1886	974	0	912	0	0	0	1886	NA	669	NA	NA	NA	NA	1998	2002	retrospective	MD Anderson Cancer Center	USA	NA	NA	NA	NA	NA		No	Yes	Patients whose only sites of metastases were introtheoracic or supraclavicular lymph nodes were excluded. Only metastases at dx were captured.
Tomasini 2016	27999344	NSCLC, IV	Caucasian			142	61	81	NA	NA	94	48	31	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	142	127	0	15	0	0	0	142	29	52	126	16	95	47	2009	2010	retrospective	Aix Marseille University Hospital	France	140	0	2	0	0		No	No	Squamous NSCLC were excluded. Also tracks BM recurrence. Includes meta-analysis table.
Li Wang 2015	26091796	NSCLC, BM+	East Asian			136	0	136	NA	NA	72	64	56	80	102	34	NA	NA	NA	NA	NA	NA	NA	0	136	114	0	22	0	0	0	136	77	59	74	62	NA	NA	2010	2014	retrospective	Shanxi Tumor Hospital	China	0	0	136	0	0		No	Yes	Actual age cutpoint is 65. Includes meta-analysis table.
Li Wang 2015	26091796	NSCLC	East Asian			730	594	136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	77	59	NA	NA	NA	NA	2010	2014	retrospective	Shanxi Tumor Hospital	China	0	0	730	0	0		No	No	
Hsiao 2013	23871711	LUAD	East Asian			505	325	180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	505	0	0	NA	NA	NA	NA	58	81	NA	NA	NA	NA	2006	2012	retrospective	Taipei Medical University Hospital, Wang-Fan Hospital	China	0	0	505	0	0		No	No	
Hsiao 2013	23871711	LUAD, BM+	East Asian		105	139	0	139	NA	NA	57	82	97	42	58	81	NA	NA	NA	NA	NA	NA	NA	NA	NA	139	0	0	NA	NA	NA	NA	58	81	50	89	NA	NA	2006	2012	retrospective	Taipei Medical University Hospital, Wang-Fan Hospital	China	0	0	139	0	0		No	No	
Luo 2014	24197981	NSCLC, BM+ at dx	East Asian		83	136	0	136	NA	NA	83	53	73	51	66	70	NA	NA	NA	127	9	84	52	0	136	112	0	24	0	0	0	139	0	139	64	72	NA	NA	2007	2012	retrospective	Souterhn Medical University Affiliated Nanfan Hospital, and 7 other centers in South China	China	0	0	136	0	0		No	No	Actual age cutpoint is 55. Due to brain symptoms at dx, patients presumed to have BM at dx.
Guan 2016	26589606	NSCLC	East Asian	NA	NA	401	361	40	NA	NA	280	121	206	195	NA	NA	NA	NA	NA	250	151	181	220	199	202	308	0	93	118	84	202	199	NA	NA	242	159	NA	NA	2010	2014	retrospective	Nanfan Hospital	China	0	0	401	0	0		No	Yes	Bone metastasis was strangely higher than brain metastasis: The rates of distant metastases in bone (34.6 vs 24.8 %, P = 0.034) and brain (15.7 vs 6.6 %, P = 0.003) were higher in patients with EGFR mutations than the wild type.
Baek 2018	27093978	NSCLC, IV	East Asian	3.45		259	192	67	NA	NA	167	92	106	153	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	259	180	0	79	0	0	0	259	20	47	186	73	NA	NA	2010	2013	retrospective	Gachon University Gil Medical Center	Korea	0	0	259	0	0		No	No	
Hendriks 2014	24529684	NSCLC, EGFR+	Caucasian			62	42	20	NA	NA	16	46	25	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	54	57	0	5	NA	NA	13	54	5	15	0	62	62	0	2004	2012	retrospective	Maastricht University Medical Center, VU University Medical Center	Netherlands	62	0	0	0	0		No	Yes	EGFR+ Case cohort
Hendriks 2014	24529684	NSCLC, KRAS+	Caucasian			65	42	23	NA	NA	27	38	2	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	49	53	0	12	NA	NA	16	49	9	14	65	0	0	65	2004	2012	retrospective	Maastricht University Medical Center, VU University Medical Center	Netherlands	65	0	0	0	0		No	Yes	KRAS+ Case cohort
Hendriks 2014	24529684	NSCLC, EGFR-, KRAS-	Caucasian	NA	NA	62	37	25	NA	NA	36	26	9	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	61	52	0	10	NA	NA	1	61	13	12	62	0	62	0	2004	2012	retrospective	Maastricht University Medical Center, VU University Medical Center	Netherlands	62	0	0	0	0		No	Yes	Control cohort
Rossi 2016	26645830	NSCLC, EGFR+	Caucasian	NA	43	55	32	23	NA	NA	18	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	55	NA	NA	2004	2014	retrospective	Catholic University of Sacred Heart	Italy	53	1	1	0	0	0.13	No	Yes	Minimum follow-up of 1 year.
Shin 2016	26520640	NSCLC, BM+	NA		49	112	0	112	NA	NA	51	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	12	NA	NA	NA	NA	NA	NA	58	38	47	14	2012	2014	retrospective	New York University Langone Medical Cente	USA	NA	NA	NA	NA	NA		No	No	RET and ROS1 rearrangements assessed. Follow-up is from diagnosis of brain metastasis.
Li Azzoli 2016	26730601	NSCLC, IV	NA	7.00	NA	118	61	57	NA	NA	50	68	NA	NA	61	57	NA	NA	NA	NA	NA	NA	NA	0	118	99	0	19	0	0	0	118	26	31	27	17	NA	NA	2004	2008	retrospective	Memorial Sloan Kettering Cancer Center	USA	NA	NA	NA	NA	NA		No	No	Actual age cutpoint is 65.
Jin 2016	27527915	NSCLC, I-III	East Asian	2.50	NA	198	184	14	NA	NA	97	101	111	87	NA	NA	NA	NA	NA	184	14	141	57	198	0	161	0	37	136	62	198	0	14	0	94	115	NA	NA	2011	2013	retrospective	Zhejiang Cancer Hospital	China	0	0	198	0	0	NA	No	Yes	Some patients with EGFR mutation outside ex19 and ex21 were excluded (added back to the EGFR mutation count). Brain metastasis was not assessed in all patients.
Rau 2016	27070580	LUAD, BM+	East Asian	NA	NA	49	0	49	NA	NA	27	22	18	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	37	49	0	0	7	3	10	37	18	31	19	30	19	14	1991	2010	retrospective	Kaohisung Chang Gung Memorial Hospital	China	0	0	49	0	0	NA	No	No	Matched brain metastasis and primary. Recorded mutation status from primary.
Ding 2012	22846375	NSCLC, IIIA, N2, M0	East Asian	5.94		217	164	53	32	21	156	61	98	119	114	103	NA	NA	NA	180	37	0	217	217	0	112	0	105	0	0	217	0	53	0	NA	NA	NA	NA	2003	2005	retrospective	Peking Union Medical College	China	0	0	217	0	0	0.33	No	No	Brain metastasis is monitored throughput clinical course.
Ceresoli 2002	12209754	NSCLC, II-III	Caucasian	5.25	NA	112	NA	NA	25	NA	101	11	NA	NA	68	44	NA	NA	NA	61	51	38	74	112	0	30	0	82	16	96	112	0	NA	0	NA	NA	NA	NA	1991	1998	retrospective	IRCCS	Italty	112	0	0	0	0	0.26	No	No	Only initial site of metastasis was recorded.
Robnett 2001	11230477	NSCLC, II-III	NA	1.25		150	NA	NA	29	NA	84	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	150	0	103	0	47	5	145	150	0	NA	0	NA	NA	NA	NA	1992	1998	retrospective	University of Pennsylvania	USA	NA	NA	NA	NA	NA		No	No	Only initial site of metastasis was recorded.
Chen 2007	17342770	NSCLC, III	NA	4.42		51	23	28	22	6	36	15	NA	NA	42	9	NA	NA	NA	32	19	7	44	51	0	23	0	28	0	51	51	0	28	0	NA	NA	NA	NA	1990	2004	retrospective	University of California, San Francisco	USA	NA	NA	NA	NA	NA	0.42	No	No	
Yokoi 1996	8572765	NSCLC, I-III	East Asian	3.25		128	NA	NA	11	NA	96	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	128	0	66	0	62	81	47	128	0	NA	0	NA	NA	NA	NA	1989	1992	prospective	Tochigi Cancer Center	Japan	0	0	128	0	0		No	No	Only initial site of metastasis was recorded. Completed resected only. 19 patients with incomplete resection were excluded.
Albain 1995	7636530	NSCLC, III	Mixed	2.40	89	126	NA	NA	26	NA	80	46	NA	NA	NA	NA	NA	NA	NA	60	39	17	109	126	0	53	0	73	0	126	126	0	NA	0	NA	NA	NA	NA	1988	1992	prospective	Southwest Oncology Group	USA	112	11	0	0	2	0.20	No	No	Only initial site of metastasis was recorded. 13 treatment-related deaths and 19 unrelated deaths.
Andre 2001	11413530	NSCLC, III, N2	Caucasian	4.33		267	NA	NA	59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	178	88	0	267	267	0	96	0	171	0	236	236	0	NA	0	NA	NA	NA	NA	1989	1996	retrospective	Gustave Roussy Institute	France	267	0	0	0	0	0.11	No	No	Only initial site of metastasis was recorded.
Jacobs 1987	3567864	LUAD, II-III, M0	NA	NA	NA	58	44	14	10	4	44	14	NA	NA	NA	NA	NA	NA	NA	29	29	30	28	58	0	58	0	0	27	31	58	0	14	0	NA	NA	NA	NA	1975	1987	retrospective	University of Chicago and Michale Reese Medical Center	USA	NA	NA	NA	NA	NA	NA	No	Yes	Excluding patients who received prophylatic cranial irradiation.
Tang 1993	8104594	LUAD, M+	East Asian	NA	NA	148	118	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	148	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1979	1987	retrospective	Chang Gung Memorial Hospital	China	0	0	148	0	0	NA	No	No	Only abstract available.
Ma 2016	27626317	LUAD, EGFR+, BM- at dx	East Asian	3.17	93	134	100	34	NA	NA	59	75	103	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	134	0	134	0	0	NA	NA	32	102	34	0	NA	NA	NA	NA	2008	2012	retrospective	Shandong Cancer Hospital		0	0	134	0	0	0.30	No	No	Actual age cutpoint was 53. IIIB was grouped together with IV.
Hung Wu 2010	20335294	NSCLC, I, M+	East Asian	1.95	163	166	107	59	44	15	130	36	NA	NA	NA	NA	NA	NA	NA	166	0	166	0	166	0	95	0	71	166	0	0	0	59	0	NA	NA	NA	NA	1980	2000	retrospective	Taipei Veterans General Hospital	China	0	0	166	0	0		No	Yes	Only postrecurrence survival available.
Taneja 2007	JIACM 2007; 8(4): 312-15	SCLC	South Asian	NA	NA	50	NA	NA	12		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	50	0	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	2003	2006	retrospective	Rajiv Ganhi Cancer Institute and Research Centre	India	0	0	0	50	0	NA	No	No	Only metastasis at diagnosis was assessed.
Noronha 2014	25548673	NSCLC, EGFR+, M+	South Asian	NA	NA	101	87	14	NA	NA	46	55	65	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96	0	5	NA	NA	NA	NA	NA	NA	0	101	NA	NA	2009	2012	retrospective	Tata Memorial Hospital	India	0	0	0	101	0	NA	No	No	Unclear whether the patients were metastatic at dx.
Jena 2008	18303434	NSCLC	South Asian	NA	NA	175	NA	NA	62	NA	152	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	120	NA	0	NA	17	38	55	120	NA	NA	NA	NA	NA	NA	2003	2006	retrospective	Rajiv Gandhi Cancer Institute and Research Centre	India	0	0	0	175	0	NA	No	No	Only metastasis at diagnosis was assessed. A subset of the NSCLC patients were previously published in Taneja 2007.
